,Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated,Unnamed: 9,Unnamed: 10
10,,"@Timm Giesbers Offensichtlich geht es in dieser Reportage nur um Marcel-Jana und seine zelebrierte Einzigartigkeit. Ich finde, dass Geschlechterdifferenzierung in einigen Bereichen sehr wichtig ist und finde den Kommentar von piiinkDeluxe sehr gut.",,,,L X,"@Timm Giesbers Offensichtlich geht es in dieser Reportage nur um Marcel-Jana und seine zelebrierte Einzigartigkeit. Ich finde, dass Geschlechterdifferenzierung in einigen Bereichen sehr wichtig ist und finde den Kommentar von piiinkDeluxe sehr gut.",2021-02-12T08:52:21Z,2021-02-12T08:52:21Z,,
11,,@Timm Giesbers könnte man nicht &quot;das&quot; verwenden?,,,,Player Nike,@Timm Giesbers könnte man nicht &quot;das&quot; verwenden?,2021-02-12T11:18:23Z,2021-02-12T11:18:23Z,,
12,,"@Player Nike Es gibt da unterschiedliche Einstellungen zu, Marcel-Jana identifiziert sich aber nicht mit &quot;das&quot; oder &quot;es&quot; und ich habe dafür auch großes Verständnis. Irgendwie entmenschlicht ein &quot;es&quot; die Person, oder?",,,,Timm Giesbers,"@Player Nike Es gibt da unterschiedliche Einstellungen zu, Marcel-Jana identifiziert sich aber nicht mit &quot;das&quot; oder &quot;es&quot; und ich habe dafür auch großes Verständnis. Irgendwie entmenschlicht ein &quot;es&quot; die Person, oder?",2021-02-12T11:31:35Z,2021-02-12T11:31:35Z,,
13,,"@maxim 3 wie? Du meinst doch nicht etwa, dass diese &quot;reportage&quot; von uns finanziert worden ist?",,,,mi yagi,"@maxim 3 wie? Du meinst doch nicht etwa, dass diese &quot;reportage&quot; von uns finanziert worden ist?",2021-02-12T13:37:39Z,2021-02-12T13:37:39Z,,
14,,@Kjartan Ragnarson Und wieso genau? Was hast du vermisst?,,,,Timm Giesbers,@Kjartan Ragnarson Und wieso genau? Was hast du vermisst?,2021-02-12T18:23:40Z,2021-02-12T18:23:40Z,,
15,,@Kjartan Ragnarson Doch ziemlich sicher sogar. Das Bundesverfassungsgericht urteilt eindeutig für Menschen wie Marcel-Jana. Welche Kritiker:innen meinst du?,,,,Timm Giesbers,@Kjartan Ragnarson Doch ziemlich sicher sogar. Das Bundesverfassungsgericht urteilt eindeutig für Menschen wie Marcel-Jana. Welche Kritiker:innen meinst du?,2021-02-12T18:42:00Z,2021-02-12T18:42:00Z,,
16,,"@Kjartan Ragnarson Was Du da schreibst ist ab dem ersten Wort vollkommen falsch. Aus wissenschaftlicher Sicht sind deine &quot;Thesen&quot; vollkommen widerlegt und überholt. Auch die Weltgesundheitsorganisation ordnet Transsexualität nicht mehr als Krankheit ein. Das ist unser Maßstab, keine pseudowissenschaftlichen Ideen. Quellen findest du hier: <a href=""https://www.spiegel.de/gesundheit/diagnose/who-streicht-transgender-von-liste-der-psychischen-krankheiten-a-1213812.html"">https://www.spiegel.de/gesundheit/diagnose/who-streicht-transgender-von-liste-der-psychischen-krankheiten-a-1213812.html</a>",,,,Timm Giesbers,"@Kjartan Ragnarson Was Du da schreibst ist ab dem ersten Wort vollkommen falsch. Aus wissenschaftlicher Sicht sind deine &quot;Thesen&quot; vollkommen widerlegt und überholt. Auch die Weltgesundheitsorganisation ordnet Transsexualität nicht mehr als Krankheit ein. Das ist unser Maßstab, keine pseudowissenschaftlichen Ideen. Quellen findest du hier: <a href=""https://www.spiegel.de/gesundheit/diagnose/who-streicht-transgender-von-liste-der-psychischen-krankheiten-a-1213812.html"">https://www.spiegel.de/gesundheit/diagnose/who-streicht-transgender-von-liste-der-psychischen-krankheiten-a-1213812.html</a>",2021-02-12T19:16:07Z,2021-02-12T19:16:23Z,,
17,,"@Kjartan Ragnarson Und hier noch eine wichtige Quelle: <a href=""https://www.bpb.de/gesellschaft/gender/geschlechtliche-vielfalt-trans/245353/medizinische-einordnung-von-transidentitaet"">https://www.bpb.de/gesellschaft/gender/geschlechtliche-vielfalt-trans/245353/medizinische-einordnung-von-transidentitaet</a>",,,,Timm Giesbers,"@Kjartan Ragnarson Und hier noch eine wichtige Quelle: <a href=""https://www.bpb.de/gesellschaft/gender/geschlechtliche-vielfalt-trans/245353/medizinische-einordnung-von-transidentitaet"">https://www.bpb.de/gesellschaft/gender/geschlechtliche-vielfalt-trans/245353/medizinische-einordnung-von-transidentitaet</a>",2021-02-12T19:16:41Z,2021-02-12T19:16:41Z,,
18,,"Die Sprachwissenschaftler aussenhalb der Genderideologie erhängen sich bei dieser Komplexitätreduktion. Gott wie Dumm sind Menschen bitte!<br><br><br>Eine Sache noch, <br>wenn negativ besetzte Begriffe nicht gegendert werden ist es in Ordnung. Beleidigen und  Diskriminierung an Männern ist okay. Dass sich eben auch keine Frauenrechtlerin beschwert, wenn diese Begriffe nicht &quot;gleichberechtigt&quot; gegendert werden, sagt auch schon viel aus.<br><br>Dealer(Innen) , Verbrecher(Innen), Hetzer(Innen), GamerInnen wird gendert aber Hater(Innen) nicht, Verschwörungstheoretiker(Innen), Mörder(Innen), Terroristen(Innen). Skeptiker(Innen), Leugner(Innen), <br>sucht das mal. <br><br>Titel: Online-Shop für nazis: wir suchen die &quot;Anbieter",,,,mmzmendo,"Die Sprachwissenschaftler aussenhalb der Genderideologie erhängen sich bei dieser Komplexitätreduktion. Gott wie Dumm sind Menschen bitte!<br><br><br>Eine Sache noch, <br>wenn negativ besetzte Begriffe nicht gegendert werden ist es in Ordnung. Beleidigen und  Diskriminierung an Männern ist okay. Dass sich eben auch keine Frauenrechtlerin beschwert, wenn diese Begriffe nicht &quot;gleichberechtigt&quot; gegendert werden, sagt auch schon viel aus.<br><br>Dealer(Innen) , Verbrecher(Innen), Hetzer(Innen), GamerInnen wird gendert aber Hater(Innen) nicht, Verschwörungstheoretiker(Innen), Mörder(Innen), Terroristen(Innen). Skeptiker(Innen), Leugner(Innen), <br>sucht das mal. <br><br>Titel: Online-Shop für nazis: wir suchen die &quot;Anbieter",2021-02-12T19:32:38Z,2021-02-12T19:32:38Z,,
19,,"@Kjartan Ragnarson Und unsere Kollegin bei funk hat genau dazu auch ein wichtiges Video gemacht - mit echten wissenschaftlichen Fakten: <a href=""https://youtu.be/0MqozRkt7MU"">https://youtu.be/0MqozRkt7MU</a>",,,,Timm Giesbers,"@Kjartan Ragnarson Und unsere Kollegin bei funk hat genau dazu auch ein wichtiges Video gemacht - mit echten wissenschaftlichen Fakten: <a href=""https://youtu.be/0MqozRkt7MU"">https://youtu.be/0MqozRkt7MU</a>",2021-02-12T20:07:21Z,2021-02-12T20:07:21Z,,
20,,"@mmzmendo Du, 1. ist das Video nicht von uns, 2. Was hat das mit dem Thema zu tun und 3. Wo findest du in meinem Video Beispiele für deine Behauptungen?",,,,Timm Giesbers,"@mmzmendo Du, 1. ist das Video nicht von uns, 2. Was hat das mit dem Thema zu tun und 3. Wo findest du in meinem Video Beispiele für deine Behauptungen?",2021-02-12T20:08:22Z,2021-02-12T20:08:22Z,,
21,,"@Timm Giesbers<br><br>Hier<br><a href=""https://youtu.be/7WAvCbfkozI"">https://youtu.be/7WAvCbfkozI</a>",,,,mmzmendo,"@Timm Giesbers<br><br>Hier<br><a href=""https://youtu.be/7WAvCbfkozI"">https://youtu.be/7WAvCbfkozI</a>",2021-02-12T20:13:12Z,2021-02-12T20:13:12Z,,
22,,@Timm Giesbers Servus erstmal. Ich würde mich selber auch im politisch liberalen Spektrum einordnen und verstehe  Marcel-Janas Dilemma soweit auch. Finde das Theater im binär aber total unangebracht und falsch. Wäre das bessere Zeichen nicht einfach zu sagen: „hey ich bin Marcel. Biologisch ein Mann habe aber feminine Hobbys/Interessen/Eigenschaften whatever  und wisst übrigens ist das auch Okey so“<br><br>Wenn es doch darum geht uns als Gesellschaft toleranter und offener zu machen finde ich diese emotional aufgeblasene Gender Diskussion einfach falsch. Leben ins Leben lassen bedeutet nicht neue Spektren zu erfinden sonder bestehende zu erweitern. Wir haben uns biologisch nicht weiterentwickelt sondern lediglich Gesellschaftlich.,,,,Ein NicerAcc,@Timm Giesbers Servus erstmal. Ich würde mich selber auch im politisch liberalen Spektrum einordnen und verstehe  Marcel-Janas Dilemma soweit auch. Finde das Theater im binär aber total unangebracht und falsch. Wäre das bessere Zeichen nicht einfach zu sagen: „hey ich bin Marcel. Biologisch ein Mann habe aber feminine Hobbys/Interessen/Eigenschaften whatever  und wisst übrigens ist das auch Okey so“<br><br>Wenn es doch darum geht uns als Gesellschaft toleranter und offener zu machen finde ich diese emotional aufgeblasene Gender Diskussion einfach falsch. Leben ins Leben lassen bedeutet nicht neue Spektren zu erfinden sonder bestehende zu erweitern. Wir haben uns biologisch nicht weiterentwickelt sondern lediglich Gesellschaftlich.,2021-02-13T01:14:24Z,2021-02-13T01:14:24Z,,
23,,@mmzmendo Nochmal: Was hat das mit dem Video zu tun?,,,,Timm Giesbers,@mmzmendo Nochmal: Was hat das mit dem Video zu tun?,2021-02-13T08:19:09Z,2021-02-13T08:19:09Z,,
24,,"@Ein NicerAcc Hallo! Ich glaube, du missverstehst da etwas total: Marcel-Jana geht es nicht um einen politischen Auftrag, sondern einfach um seine eigene Identität. Und Marcel-Jana definiert das eigene Geschlecht eben außerhalb von „Mann“ und „Frau“. Das ist vom Gesetzgeber mit der dritten Option auch so anerkannt. Ich glaube, es ist für uns alle eine Herausforderung das zu akzeptieren und zu verstehen, weil wir so sehr im binären System hängen. Aber intellektuelle Herausforderungen muss man ja nicht wegen ihrer Schwierigkeit ablehnen ;)",,,,Timm Giesbers,"@Ein NicerAcc Hallo! Ich glaube, du missverstehst da etwas total: Marcel-Jana geht es nicht um einen politischen Auftrag, sondern einfach um seine eigene Identität. Und Marcel-Jana definiert das eigene Geschlecht eben außerhalb von „Mann“ und „Frau“. Das ist vom Gesetzgeber mit der dritten Option auch so anerkannt. Ich glaube, es ist für uns alle eine Herausforderung das zu akzeptieren und zu verstehen, weil wir so sehr im binären System hängen. Aber intellektuelle Herausforderungen muss man ja nicht wegen ihrer Schwierigkeit ablehnen ;)",2021-02-13T08:21:47Z,2021-02-13T08:21:47Z,,
25,,"Hallo, Ich möchte Ihre Videos mit türkischer Übersetzung auf meinem Kanal veröffentlichen, um die Leute darauf aufmerksam zu machen. Würden Sie mir bitte erlauben?",,,,nur koç,"Hallo, Ich möchte Ihre Videos mit türkischer Übersetzung auf meinem Kanal veröffentlichen, um die Leute darauf aufmerksam zu machen. Würden Sie mir bitte erlauben?",2021-02-13T08:59:38Z,2021-02-13T08:59:38Z,,
26,,"@Timm Giesbers Krankenkassen bezahlen geschlechtsumwandelnde Maßnahmen, weil der Transsexualität eine Geschlechtsdysphorie zugrunde liegt.<br>Deiner Meinung nach sollten transsexuelle Menschen ihre Therapien also alle selber bezahlen, weil keine Krankheit zugrunde liegt und damit Krankenkassen nicht zuständig sind?",,,,L X,"@Timm Giesbers Krankenkassen bezahlen geschlechtsumwandelnde Maßnahmen, weil der Transsexualität eine Geschlechtsdysphorie zugrunde liegt.<br>Deiner Meinung nach sollten transsexuelle Menschen ihre Therapien also alle selber bezahlen, weil keine Krankheit zugrunde liegt und damit Krankenkassen nicht zuständig sind?",2021-02-13T09:56:01Z,2021-02-13T09:56:01Z,,
27,,@Timm Giesbers danke für die nette Antwort:) definitiv ein schweres Thema,,,,Ein NicerAcc,@Timm Giesbers danke für die nette Antwort:) definitiv ein schweres Thema,2021-02-13T10:59:00Z,2021-02-13T10:59:00Z,,
28,,"@L X 1. Das habe ich nicht geschrieben und welchen Sinn ergäbe das, nachdem ich dieses Video gemacht habe? Das ist doch haarsträubend. <br>Und 2. Bitte lies dich zunächst in die Faktenlage ein. Vorher ist eine Diskussion einfach ziellos. Eine Transidentität ist keine psychische Krankheit, als die du sie bezeichnest. Es ist ein Zustand, ein Sein und Bedarf keiner Behandlung, wohl aber (in Fällen, wo das vom jeweiligen Menschen gewünscht ist) einer Angleichung des eigenen Körpers an die Geschlechtsidentität.",,,,Timm Giesbers,"@L X 1. Das habe ich nicht geschrieben und welchen Sinn ergäbe das, nachdem ich dieses Video gemacht habe? Das ist doch haarsträubend. <br>Und 2. Bitte lies dich zunächst in die Faktenlage ein. Vorher ist eine Diskussion einfach ziellos. Eine Transidentität ist keine psychische Krankheit, als die du sie bezeichnest. Es ist ein Zustand, ein Sein und Bedarf keiner Behandlung, wohl aber (in Fällen, wo das vom jeweiligen Menschen gewünscht ist) einer Angleichung des eigenen Körpers an die Geschlechtsidentität.",2021-02-13T11:55:45Z,2021-02-13T11:55:45Z,,
29,,@Timm Giesbers in deinem letzten Kommentar widersprichst du dir aber. In welcher Welt die die Angleichung des geschlechhtsteils keine Behandlung? Es wird doch gemacht damit die Person sich im eigenen Körper wohlfühlen kann oder? Ergo ist das eine Behandlung. Nur weil du ein anderes Wort verwendest heißt es nicht das die Bedeutung eine andere ist,,,,Ein NicerAcc,@Timm Giesbers in deinem letzten Kommentar widersprichst du dir aber. In welcher Welt die die Angleichung des geschlechhtsteils keine Behandlung? Es wird doch gemacht damit die Person sich im eigenen Körper wohlfühlen kann oder? Ergo ist das eine Behandlung. Nur weil du ein anderes Wort verwendest heißt es nicht das die Bedeutung eine andere ist,2021-02-13T12:20:08Z,2021-02-13T12:20:08Z,,
30,,"Schon der Name macht mir propleme. Darauf wird gar nicht eingegangen, ist das der geburtsname oder eine eigengreation? Ich komme insgesamt nicht darauf klar, dass allen Erscheinungen ausserhalb dessen was die durchschnittsbevölkerung darstellt immer so ein hype gemacht wird. Ich akzeptiere alle Menschen als Mensch. Aber ich Knie nicht für schwarze nieder, oder befürworte Regenbogen als eckfahne im Stadion. Ich finde das herausstellen eher negativ.",,,,Aleandra Sutter,"Schon der Name macht mir propleme. Darauf wird gar nicht eingegangen, ist das der geburtsname oder eine eigengreation? Ich komme insgesamt nicht darauf klar, dass allen Erscheinungen ausserhalb dessen was die durchschnittsbevölkerung darstellt immer so ein hype gemacht wird. Ich akzeptiere alle Menschen als Mensch. Aber ich Knie nicht für schwarze nieder, oder befürworte Regenbogen als eckfahne im Stadion. Ich finde das herausstellen eher negativ.",2021-02-13T12:52:30Z,2021-02-13T12:52:30Z,,
31,,"@Timm Giesbers noch eine Frage. Ich bin 25 Jahre alt sehe aber deutlich jünger aus. Teilweise kann ich nichtmal Bier kaufen ohne meinen perso zu zeige. Dieses Problem habe ich logischerweise seitdem ich 16 bin. Trotzdem habe ich mit 18 in einer Raucherbar gearbeitet. Jeden Tag durfte ich mir Sprüche anhören wie: „darfst du hier überhaupt schon arbeiten?“, „bist du schon 18??!?“ , „wie alt bist du überhaupt“, „wir haben uns die ganze Zeit gefragt wie alt du bist“ etc. Das war logischerweise schon verletzten und ich musste erstmal lernen damit umzugehen, was ich auch nach und nach immer besser konnte. Trotzdem nervt es.<br><br>Faktisch gesehen bin und war ich volljährig (genau so wie MJ sich nicht als Mann oder Frau einstufen lassen will also non-binär ist) dennoch wurde das permanent „infrage“ gestellt weil es rein oberflächlich nicht einsehbar ist (genau so wie MJ von unwissenden halt mit Mann und er angesprochen wird). Ist das jetzt mein Problem oder das Problem der Gesellschaft? Ich habe da logischerweise kein Theater draus gemacht weil ich schon verstehen kann das andere einen ersten Eindruck haben und dadurch kommt man erstmal in Schubladen wie zb „ist ist ein Mann, junges Erscheinungsbild etc. etc.“. Das finde ich auch nicht schlimm weil das schubladendenken absolut menschlich ist. Klar muss man das manchem hinterfragen aber soooo absolute Basics wie alter und Geschlecht kann man doch wohl weiterhin in eine Schublade stecken oder? Ich finde so ein Verhalten sollten wir nicht als böse abstempeln sonder lernen damit umzugehen. Ich kann doch meine persönlichen Problemchen nicht auf andere abwälzen? Und selbst wenn es ein riesiges Problem sein sollte kann ich dir Verantwortung nicht von mir weg schieben. Ich bin für mein Glück verantwortlich und lasse andere Personen mit einem dummen Spruch oder einem flachen Pronomen nicht meine Laune und mein Glück beeinflussen. Ich will doch einfach glücklich leben.",,,,Ein NicerAcc,"@Timm Giesbers noch eine Frage. Ich bin 25 Jahre alt sehe aber deutlich jünger aus. Teilweise kann ich nichtmal Bier kaufen ohne meinen perso zu zeige. Dieses Problem habe ich logischerweise seitdem ich 16 bin. Trotzdem habe ich mit 18 in einer Raucherbar gearbeitet. Jeden Tag durfte ich mir Sprüche anhören wie: „darfst du hier überhaupt schon arbeiten?“, „bist du schon 18??!?“ , „wie alt bist du überhaupt“, „wir haben uns die ganze Zeit gefragt wie alt du bist“ etc. Das war logischerweise schon verletzten und ich musste erstmal lernen damit umzugehen, was ich auch nach und nach immer besser konnte. Trotzdem nervt es.<br><br>Faktisch gesehen bin und war ich volljährig (genau so wie MJ sich nicht als Mann oder Frau einstufen lassen will also non-binär ist) dennoch wurde das permanent „infrage“ gestellt weil es rein oberflächlich nicht einsehbar ist (genau so wie MJ von unwissenden halt mit Mann und er angesprochen wird). Ist das jetzt mein Problem oder das Problem der Gesellschaft? Ich habe da logischerweise kein Theater draus gemacht weil ich schon verstehen kann das andere einen ersten Eindruck haben und dadurch kommt man erstmal in Schubladen wie zb „ist ist ein Mann, junges Erscheinungsbild etc. etc.“. Das finde ich auch nicht schlimm weil das schubladendenken absolut menschlich ist. Klar muss man das manchem hinterfragen aber soooo absolute Basics wie alter und Geschlecht kann man doch wohl weiterhin in eine Schublade stecken oder? Ich finde so ein Verhalten sollten wir nicht als böse abstempeln sonder lernen damit umzugehen. Ich kann doch meine persönlichen Problemchen nicht auf andere abwälzen? Und selbst wenn es ein riesiges Problem sein sollte kann ich dir Verantwortung nicht von mir weg schieben. Ich bin für mein Glück verantwortlich und lasse andere Personen mit einem dummen Spruch oder einem flachen Pronomen nicht meine Laune und mein Glück beeinflussen. Ich will doch einfach glücklich leben.",2021-02-13T13:01:58Z,2021-02-13T13:01:58Z,,
32,,"@Timm Giesbers 1. Das hast Du zwar nicht geschrieben, wäre aber die logische Konsequenz, wenn Transsexualität keine Krankheit wäre. Dann wären die Krankenkassen rechtlich nicht mehr dazu verpflichtet, die Kosten zu übernehmen.<br><br>2. Du unterscheidest zwischen Behandlung und Angleichung. Was glaubst Du wird bei einer Angleichung gemacht? Hast Du Dich diesbezüglich mal in die Faktenlage eingelesen? Offensichtlich nicht, wenn Behandlung und Angleichung für Dich zwei verschiedene Dinge sind.<br><br>Du machst Dir die Welt, wie sie Dir gefällt und übersiehst dabei das Paradoxon Deiner eigenen Argumentation und das empfinde ich als schwache Leistung für einen ,,Reporter&quot;.",,,,L X,"@Timm Giesbers 1. Das hast Du zwar nicht geschrieben, wäre aber die logische Konsequenz, wenn Transsexualität keine Krankheit wäre. Dann wären die Krankenkassen rechtlich nicht mehr dazu verpflichtet, die Kosten zu übernehmen.<br><br>2. Du unterscheidest zwischen Behandlung und Angleichung. Was glaubst Du wird bei einer Angleichung gemacht? Hast Du Dich diesbezüglich mal in die Faktenlage eingelesen? Offensichtlich nicht, wenn Behandlung und Angleichung für Dich zwei verschiedene Dinge sind.<br><br>Du machst Dir die Welt, wie sie Dir gefällt und übersiehst dabei das Paradoxon Deiner eigenen Argumentation und das empfinde ich als schwache Leistung für einen ,,Reporter&quot;.",2021-02-13T14:15:46Z,2021-02-13T14:15:46Z,,
33,,"@Aleandra Sutter niemand macht nen Hype, wir berichten nur. Das ist unser Job.",,,,Timm Giesbers,"@Aleandra Sutter niemand macht nen Hype, wir berichten nur. Das ist unser Job.",2021-02-13T14:25:23Z,2021-02-13T14:25:23Z,,
34,,@Ein NicerAcc Doch andere Wörter haben andere Bedeutungen.,,,,Timm Giesbers,@Ein NicerAcc Doch andere Wörter haben andere Bedeutungen.,2021-02-13T14:25:49Z,2021-02-13T14:25:49Z,,
35,,@Ein NicerAcc Dein Beispiel find ich arg schräg.,,,,Timm Giesbers,@Ein NicerAcc Dein Beispiel find ich arg schräg.,2021-02-13T14:26:58Z,2021-02-13T14:26:58Z,,
36,,"@L X Vielleicht ein letzter Erklärungsversuch: Die Krankenkassen zahlen die Geschlechtsangleichung, ja, aber sie sehen nicht die Not einer psychotherapeutischen Behandlung von transgeschlechtlichen Menschen, weil diese Menschen - anders als du behauptest - nicht psychisch krank sind.<br>Und da findest du auch wirklich keine seriöse Wissenschaftler:in, die Gegenteiliges behauptet (die WHO und weitere Quellen habe ich ja bereits verlinkt, auch wenn du sie ignorierst.)<br><br>Für mich ist die Debatte hiermit dann auch geschlossen. Wir haben uns ausgetauscht. Weiteres hin und her führt zu nichts. Ich zitiere hier noch mal die Rechtsanwältin aus dem Video: „Die Grundrechte stehen auf der queeren Seite.“",,,,Timm Giesbers,"@L X Vielleicht ein letzter Erklärungsversuch: Die Krankenkassen zahlen die Geschlechtsangleichung, ja, aber sie sehen nicht die Not einer psychotherapeutischen Behandlung von transgeschlechtlichen Menschen, weil diese Menschen - anders als du behauptest - nicht psychisch krank sind.<br>Und da findest du auch wirklich keine seriöse Wissenschaftler:in, die Gegenteiliges behauptet (die WHO und weitere Quellen habe ich ja bereits verlinkt, auch wenn du sie ignorierst.)<br><br>Für mich ist die Debatte hiermit dann auch geschlossen. Wir haben uns ausgetauscht. Weiteres hin und her führt zu nichts. Ich zitiere hier noch mal die Rechtsanwältin aus dem Video: „Die Grundrechte stehen auf der queeren Seite.“",2021-02-13T14:31:49Z,2021-02-13T14:31:49Z,,
